Dist code,Total,male,female
NL_Kiphire,74004,37830,36174
NL_Kohima,267988,138966,129022
NL_Longleng,50484,26502,23982
NL_Mokokchung,194622,101092,93530
NL_Mon,250260,131753,118507
NL_Peren,95219,49714,45505
NL_Phek,163418,83743,79675
NL_Tuensang,196596,101933,94663
NL_Wokha,166343,84505,81838
NL_Zunheboto,140757,71217,69540
OR_Angul,1273821,655718,618103
OR_Balangir,1648997,830097,818900
OR_Balasore,2320529,1185787,1134742
OR_Bargarh,1481255,749161,732094
OR_Bhadrak,1506337,760260,746077
OR_Boudh,441162,221625,219537
OR_Cuttack,2624470,1352760,1271710
OR_Deogarh,312520,158230,154290
OR_Dhenkanal,1192811,612593,580218
OR_Gajapati,577817,282882,294935
OR_Ganjam,3529031,1779218,1749813
OR_Jagatsinghpur,1136971,577865,559106
OR_Jajpur,1827192,926034,901158
OR_Jharsuguda,579505,296690,282815
OR_Kalahandi,1576869,787101,789768
OR_Kandhamal,733110,359945,373165
OR_Kendrapara,1440361,717814,722547
OR_Kendujhar,1801733,906487,895246
OR_Khordha,2251673,1167137,1084536
OR_Koraput,1379647,678809,700838
OR_Malkangiri,613192,303624,309568
OR_Mayurbhanj,2519738,1256213,1263525
OR_Nabarangapur,1220946,604812,616134
OR_Nayagarh,962789,502636,460153
OR_Nuapada,610382,301962,308420
OR_Puri,1698730,865380,833350
OR_Rayagada,967911,471960,495951
OR_Sambalpur,1041099,526877,514222
OR_Subarnapur,610183,311312,298871
OR_Sundargarh,2093437,1061147,1032290
PB_Amritsar,2490656,1318408,1172248
PB_Barnala,595527,317522,278005
PB_Bathinda,1388525,743197,645328
PB_Faridkot,617508,326671,290837
PB_Fatehgarh Sahib,600163,320795,279368
PB_Ferozepur,2029074,1071637,957437
PB_Gurdaspur,2298323,1212617,1085706
PB_Hoshiarpur,1586625,809057,777568
PB_Jalandhar,2193590,1145211,1048379
PB_Kapurthala,815168,426311,388857
PB_Ludhiana,3498739,1867816,1630923
PB_Mansa,769751,408732,361019
PB_Moga,995746,525920,469826
PB_Patiala,1895686,1002522,893164
PB_Rupnagar,684627,357485,327142
PB_S.A.S. Nagar,994628,529253,465375
PB_Sangrur,1655169,878029,777140
PB_Shahid Bhagat Singh Nagar,612310,313291,299019
PB_Sri Muktsar Sahib,901896,475622,426274
PB_Tarn Taran,1119627,589369,530258
PY_Karaikal,200222,97809,102413
PY_Mahe,41816,19143,22673
PY_Puducherry,1247953,612511,635442
RJ_Ajmer,2583052,1324085,1258967
RJ_Alwar,3674179,1939026,1735153
RJ_Banswara,1797485,907754,889731
